Date,Month,Turbidity (NTU),Diarrhea Cases,Risk Level,Temperature (°C),Rainfall (mm)
2022-10-22,10,13.9,3,Low,30.5,5.1
2020-12-31,12,6.0,0,Low,30.5,5.1
2022-11-05,11,11.8,6,Low,30.5,5.1
2020-08-05,8,50.0,30,High,30.5,35.8
2023-07-04,7,47.1,18,High,30.5,35.8
2021-09-03,9,52.2,26,High,30.5,35.8
2023-08-01,8,48.1,27,High,30.5,35.8
2022-11-05,11,22.5,12,Medium,30.5,5.1
2023-06-01,6,97.5,44,High,30.5,35.8
2021-02-11,2,5.9,1,Low,30.5,5.1
2020-11-09,11,23.0,7,Medium,30.5,5.1
2022-02-04,2,7.8,2,Low,30.5,5.1
2020-11-26,11,17.3,7,Medium,30.5,5.1
2023-01-09,1,7.6,3,Low,30.5,5.1
2022-12-22,12,8.9,0,Low,30.5,5.1
2020-01-02,1,5.8,3,Low,30.5,5.1
2023-05-11,5,23.0,5,Medium,30.5,5.1
2021-10-25,10,7.2,2,Low,30.5,5.1
2022-09-27,9,69.3,28,High,30.5,35.8
2020-02-09,2,8.8,3,Low,30.5,5.1
2020-08-17,8,69.5,29,High,30.5,35.8
2022-01-13,1,6.7,3,Low,30.5,5.1
2021-09-21,9,77.3,47,High,30.5,35.8
2021-05-05,5,19.4,5,Medium,30.5,5.1
2020-04-28,4,7.0,4,Low,30.5,5.1
2021-05-08,5,2.7,2,Low,30.5,5.1
2023-03-07,3,34.8,10,High,30.5,5.1
2020-06-10,6,25.0,14,Medium,30.5,35.8
2020-06-24,6,137.5,67,High,30.5,35.8
2022-09-22,9,44.9,13,High,30.5,35.8
2020-05-21,5,9.3,3,Low,30.5,5.1
2022-12-26,12,9.6,4,Low,30.5,5.1
2020-09-14,9,131.2,71,High,30.5,35.8
2020-09-19,9,208.8,112,High,30.5,35.8
2023-09-13,9,33.9,16,High,30.5,35.8
2022-08-31,8,41.3,28,High,30.5,35.8
2023-01-30,1,4.2,3,Low,30.5,5.1
2020-12-04,12,4.9,4,Low,30.5,5.1
2021-06-26,6,59.8,38,High,30.5,35.8
2022-12-16,12,10.3,1,Low,30.5,5.1
2023-05-27,5,39.6,9,High,30.5,5.1
2022-05-16,5,10.6,6,Low,30.5,5.1
2021-03-09,3,16.3,2,Low,30.5,5.1
2023-01-09,1,2.6,4,Low,30.5,5.1
2023-11-13,11,0.5,0,Low,30.5,5.1
2021-02-15,2,10.5,3,Low,30.5,5.1
2023-12-31,12,9.6,8,Medium,30.5,5.1
2021-09-30,9,33.4,15,High,30.5,35.8
2022-03-28,3,13.2,2,Low,30.5,5.1
2023-10-07,10,23.1,9,Medium,30.5,5.1
2023-08-23,8,22.5,11,Medium,30.5,35.8
2022-02-03,2,7.6,0,Low,30.5,5.1
2022-06-16,6,103.4,56,High,30.5,35.8
2022-11-25,11,16.9,11,Medium,30.5,5.1
2022-07-13,7,29.5,17,High,30.5,35.8
2020-09-04,9,68.0,40,High,30.5,35.8
2021-05-22,5,2.0,14,Medium,30.5,5.1
2021-04-05,4,11.3,2,Low,30.5,5.1
2020-05-11,5,4.7,0,Low,30.5,5.1
2021-11-23,11,4.8,2,Low,30.5,5.1
2020-02-13,2,10.2,2,Low,30.5,5.1
2023-04-19,4,4.9,0,Low,30.5,5.1
2023-02-08,2,9.8,4,Low,30.5,5.1
2021-04-16,4,14.9,4,Low,30.5,5.1
2023-04-20,4,9.1,3,Low,30.5,5.1
2021-03-27,3,6.8,0,Low,30.5,5.1
2020-01-15,1,11.0,3,Low,30.5,5.1
2020-05-25,5,13.4,2,Low,30.5,5.1
2023-12-20,12,1.6,3,Low,30.5,5.1
2023-07-16,7,73.7,42,High,30.5,35.8
2020-04-30,4,14.5,2,Low,30.5,5.1
2021-04-13,4,15.0,3,Low,30.5,5.1
2020-05-18,5,13.2,2,Low,30.5,5.1
2020-03-05,3,14.0,3,Low,30.5,5.1
2021-11-07,11,31.6,14,High,30.5,5.1
2020-05-25,5,11.9,4,Low,30.5,5.1
2022-11-18,11,34.1,12,High,30.5,5.1
2021-05-02,5,14.0,5,Low,30.5,5.1
2021-07-24,7,24.0,8,Medium,30.5,35.8
2023-10-02,10,12.7,7,Low,30.5,5.1
2022-09-21,9,27.4,13,Medium,30.5,35.8
2021-03-14,3,8.0,2,Low,30.5,5.1
2023-01-09,1,3.5,2,Low,30.5,5.1
2020-09-27,9,423.2,173,High,30.5,35.8
2023-03-15,3,19.4,5,Medium,30.5,5.1
2023-03-26,3,10.0,4,Low,30.5,5.1
2022-08-26,8,24.8,9,Medium,30.5,35.8
2021-05-12,5,5.6,1,Low,30.5,5.1
2022-08-26,8,55.6,38,High,30.5,35.8
2022-04-13,4,9.5,1,Low,30.5,5.1
2021-01-24,1,7.8,4,Low,30.5,5.1
2020-07-12,7,108.4,44,High,30.5,35.8
2020-07-17,7,66.8,30,High,30.5,35.8
2023-09-11,9,51.8,24,High,30.5,35.8
2022-06-01,6,50.1,20,High,30.5,35.8
2021-12-26,12,5.0,3,Low,30.5,5.1
2022-05-17,5,17.9,1,Low,30.5,5.1
2022-04-21,4,9.9,5,Low,30.5,5.1
2022-08-14,8,53.9,28,High,30.5,35.8
2020-04-20,4,14.7,2,Low,30.5,5.1
2023-10-11,10,15.7,8,Medium,30.5,5.1
2023-08-31,8,21.2,12,Medium,30.5,35.8
2023-08-16,8,38.8,15,High,30.5,35.8
2020-07-20,7,122.9,51,High,30.5,35.8
2020-05-04,5,56.0,13,High,30.5,5.1
2022-04-04,4,13.4,5,Low,30.5,5.1
2021-11-25,11,12.5,6,Low,30.5,5.1
2020-08-11,8,35.2,13,High,30.5,35.8
2021-05-24,5,17.3,4,Low,30.5,5.1
2021-01-27,1,8.5,3,Low,30.5,5.1
2021-01-24,1,11.9,4,Low,30.5,5.1
2023-01-03,1,12.8,8,Medium,30.5,5.1
2022-07-07,7,58.2,26,High,30.5,35.8
2020-10-14,10,22.0,7,Medium,30.5,5.1
2022-05-14,5,12.7,8,Medium,30.5,5.1
2021-01-10,1,6.7,6,Low,30.5,5.1
2021-07-24,7,84.0,31,High,30.5,35.8
2022-08-05,8,81.2,33,High,30.5,35.8
2021-05-26,5,25.9,9,Medium,30.5,5.1
2020-06-03,6,70.4,35,High,30.5,35.8
2022-06-26,6,104.4,38,High,30.5,35.8
2023-02-01,2,8.3,0,Low,30.5,5.1
2020-07-19,7,91.8,32,High,30.5,35.8
2020-04-13,4,8.6,3,Low,30.5,5.1
2023-08-28,8,55.0,30,High,30.5,35.8
2023-01-12,1,9.1,3,Low,30.5,5.1
2020-01-31,1,9.2,2,Low,30.5,5.1
2020-07-10,7,62.1,30,High,30.5,35.8
2021-04-29,4,16.7,2,Low,30.5,5.1
2020-12-06,12,11.4,2,Low,30.5,5.1
2022-04-12,4,9.2,0,Low,30.5,5.1
2022-09-21,9,129.4,79,High,30.5,35.8
2022-09-12,9,66.5,33,High,30.5,35.8
2021-03-13,3,20.4,33,High,30.5,5.1
2022-04-01,4,8.9,4,Low,30.5,5.1
2020-04-30,4,20.7,5,Medium,30.5,5.1
2020-12-03,12,2.6,1,Low,30.5,5.1
2022-02-15,2,27.9,10,Medium,30.5,5.1
2020-01-05,1,14.8,3,Low,30.5,5.1
2022-03-10,3,17.1,3,Low,30.5,5.1
2021-06-27,6,29.8,17,High,30.5,35.8
2022-07-20,7,0.5,3,Low,30.5,35.8
2021-08-07,8,65.4,38,High,30.5,35.8
2022-05-16,5,2.9,0,Low,30.5,5.1
2023-11-27,11,7.8,5,Low,30.5,5.1
2023-02-12,2,4.8,0,Low,30.5,5.1
2023-09-17,9,48.3,29,High,30.5,35.8
2022-09-23,9,21.2,3,Medium,30.5,35.8
2020-11-13,11,37.1,11,High,30.5,5.1
2021-01-23,1,4.1,1,Low,30.5,5.1
2021-08-30,8,45.0,29,High,30.5,35.8
2021-03-21,3,13.5,3,Low,30.5,5.1
2020-04-29,4,17.4,6,Medium,30.5,5.1
2023-04-01,4,1.1,2,Low,30.5,5.1
2023-01-15,1,6.2,4,Low,30.5,5.1
2020-05-04,5,8.7,2,Low,30.5,5.1
2021-10-04,10,32.8,12,High,30.5,5.1
2020-04-27,4,6.5,2,Low,30.5,5.1
2020-04-12,4,12.3,3,Low,30.5,5.1
2023-04-11,4,8.2,5,Low,30.5,5.1
2022-09-03,9,89.3,41,High,30.5,35.8
2022-10-26,10,27.4,6,Medium,30.5,5.1
2022-12-23,12,5.4,1,Low,30.5,5.1
2020-11-18,11,21.1,28,High,30.5,5.1
2020-04-26,4,5.3,2,Low,30.5,5.1
2022-11-06,11,16.7,8,Medium,30.5,5.1
2020-06-13,6,20.1,10,Medium,30.5,35.8
2021-01-15,1,3.1,3,Low,30.5,5.1
2020-05-20,5,2.0,0,Low,30.5,5.1
2023-05-03,5,9.6,2,Low,30.5,5.1
2020-05-19,5,10.9,5,Low,30.5,5.1
2023-10-14,10,25.2,8,Medium,30.5,5.1
2021-04-26,4,11.9,5,Low,30.5,5.1
2022-04-06,4,0.7,0,Low,30.5,5.1
2020-09-02,9,103.3,46,High,30.5,35.8
2023-03-12,3,13.4,5,Low,30.5,5.1
2021-05-19,5,11.9,8,Medium,30.5,5.1
2023-03-31,3,0.5,4,Low,30.5,5.1
2023-05-02,5,22.5,8,Medium,30.5,5.1
2020-03-22,3,5.9,4,Low,30.5,5.1
2023-06-22,6,84.3,35,High,30.5,35.8
2020-06-16,6,30.2,13,High,30.5,35.8
2022-05-08,5,3.7,0,Low,30.5,5.1
2023-09-08,9,34.1,14,High,30.5,35.8
2023-04-10,4,11.4,2,Low,30.5,5.1
2023-03-03,3,9.2,3,Low,30.5,5.1
2022-12-06,12,8.1,0,Low,30.5,5.1
2021-10-09,10,11.3,3,Low,30.5,5.1
2021-06-18,6,36.2,15,High,30.5,35.8
2021-02-22,2,3.8,0,Low,30.5,5.1
2023-10-03,10,25.5,8,Medium,30.5,5.1
2021-10-05,10,71.7,27,High,30.5,5.1
2021-05-03,5,4.1,1,Low,30.5,5.1
2021-06-27,6,89.5,34,High,30.5,35.8
2022-03-21,3,19.5,8,Medium,30.5,5.1
2020-09-25,9,36.7,17,High,30.5,35.8
2023-10-07,10,25.3,6,Medium,30.5,5.1
2023-08-14,8,37.6,16,High,30.5,35.8
2021-09-06,9,81.9,35,High,30.5,35.8
2022-07-25,7,74.9,37,High,30.5,35.8
2021-10-09,10,14.8,4,Low,30.5,5.1
2020-05-28,5,9.9,2,Low,30.5,5.1
2020-01-20,1,7.5,1,Low,30.5,5.1
2022-07-27,7,76.4,49,High,30.5,35.8
2023-06-26,6,49.3,24,High,30.5,35.8
2023-02-27,2,13.9,9,Medium,30.5,5.1
2020-07-23,7,24.7,9,Medium,30.5,35.8
2020-05-30,5,11.6,3,Low,30.5,5.1
2023-01-06,1,13.8,4,Low,30.5,5.1
2021-03-12,3,4.4,2,Low,30.5,5.1
2022-11-02,11,21.6,9,Medium,30.5,5.1
2021-06-27,6,55.6,26,High,30.5,35.8
2020-09-28,9,65.7,38,High,30.5,35.8
2021-12-15,12,4.1,0,Low,30.5,5.1
2020-05-20,5,21.9,7,Medium,30.5,5.1
2021-05-15,5,22.0,6,Medium,30.5,5.1
2022-01-26,1,7.5,4,Low,30.5,5.1
2021-08-06,8,147.7,60,High,30.5,35.8
2020-11-19,11,10.8,8,Medium,30.5,5.1
2022-06-16,6,86.1,51,High,30.5,35.8
2023-01-17,1,3.9,0,Low,30.5,5.1
2023-12-11,12,4.6,0,Low,30.5,5.1
2021-09-11,9,49.4,22,High,30.5,35.8
2023-06-06,6,10.6,4,Low,30.5,35.8
2023-09-01,9,48.0,24,High,30.5,35.8
2022-12-19,12,4.4,2,Low,30.5,5.1
2020-01-17,1,4.9,4,Low,30.5,5.1
2023-09-29,9,29.6,13,Medium,30.5,35.8
2023-02-09,2,6.7,0,Low,30.5,5.1
2021-09-05,9,39.3,17,High,30.5,35.8
2023-09-20,9,68.9,24,High,30.5,35.8
2020-07-31,7,66.5,36,High,30.5,35.8
2020-10-02,10,18.9,7,Medium,30.5,5.1
2021-06-25,6,63.4,30,High,30.5,35.8
2020-08-24,8,50.7,22,High,30.5,35.8
2020-08-07,8,67.3,31,High,30.5,35.8
2023-02-07,2,1.7,0,Low,30.5,5.1
2020-11-14,11,15.7,7,Medium,30.5,5.1
2021-07-11,7,71.2,34,High,30.5,35.8
2021-07-31,7,27.6,16,High,30.5,35.8
2023-05-23,5,7.4,1,Low,30.5,5.1
2021-03-07,3,2.3,0,Low,30.5,5.1
2021-12-03,12,19.7,2,Low,30.5,5.1
2021-02-20,2,11.4,2,Low,30.5,5.1
2023-11-08,11,14.8,4,Low,30.5,5.1
2023-07-22,7,53.0,28,High,30.5,35.8
2021-06-24,6,109.2,56,High,30.5,35.8
2022-11-01,11,22.8,9,Medium,30.5,5.1
2022-09-27,9,62.3,24,High,30.5,35.8
2021-05-29,5,34.5,8,High,30.5,5.1
2020-04-14,4,15.6,2,Low,30.5,5.1
2020-07-08,7,64.5,37,High,30.5,35.8
2023-07-23,7,63.2,31,High,30.5,35.8
2022-05-17,5,6.0,6,Low,30.5,5.1
2021-07-20,7,79.6,35,High,30.5,35.8
2020-03-31,3,7.5,1,Low,30.5,5.1
2020-01-08,1,6.2,7,Low,30.5,5.1
2021-11-14,11,32.3,9,High,30.5,5.1
2020-09-24,9,79.4,32,High,30.5,35.8
2023-07-28,7,84.1,32,High,30.5,35.8
2021-06-20,6,59.8,29,High,30.5,35.8
2020-11-26,11,30.1,9,High,30.5,5.1
2022-06-23,6,217.1,100,High,30.5,35.8
2023-02-03,2,4.4,6,Low,30.5,5.1
2023-12-16,12,4.6,28,High,30.5,5.1
2022-05-25,5,10.7,0,Low,30.5,5.1
2023-02-22,2,27.1,7,Medium,30.5,5.1
2020-01-20,1,11.4,5,Low,30.5,5.1
2020-08-17,8,127.0,68,High,30.5,35.8
2020-06-03,6,64.5,23,High,30.5,35.8
2023-11-16,11,18.2,9,Medium,30.5,5.1
2020-11-01,11,30.9,13,High,30.5,5.1
2023-01-22,1,4.4,1,Low,30.5,5.1
2020-03-14,3,13.3,0,Low,30.5,5.1
2022-01-26,1,2.8,1,Low,30.5,5.1
2023-04-07,4,22.0,6,Medium,30.5,5.1
2023-02-05,2,12.1,2,Low,30.5,5.1
2020-10-30,10,13.2,8,Medium,30.5,5.1
2022-05-30,5,19.8,8,Medium,30.5,5.1
2020-09-18,9,63.8,29,High,30.5,35.8
2020-03-26,3,22.7,15,High,30.5,5.1
2021-09-23,9,72.0,42,High,30.5,35.8
2022-01-16,1,12.6,7,Low,30.5,5.1
2020-03-22,3,11.4,5,Low,30.5,5.1
2022-01-02,1,6.0,5,Low,30.5,5.1
2021-03-06,3,26.2,7,Medium,30.5,5.1
2023-10-28,10,12.8,4,Low,30.5,5.1
2021-05-26,5,21.2,9,Medium,30.5,5.1
2023-09-27,9,47.8,20,High,30.5,35.8
2020-07-29,7,80.0,38,High,30.5,35.8
2021-12-25,12,4.3,2,Low,30.5,5.1
2023-02-20,2,7.3,2,Low,30.5,5.1
2022-04-12,4,17.8,3,Low,30.5,5.1
2023-06-25,6,46.6,22,High,30.5,35.8
2020-11-12,11,36.7,11,High,30.5,5.1
2021-04-29,4,2.7,0,Low,30.5,5.1
2020-11-28,11,33.5,8,High,30.5,5.1
2020-12-28,12,5.1,1,Low,30.5,5.1
2022-04-24,4,18.3,2,Low,30.5,5.1
2020-02-20,2,39.7,6,High,30.5,5.1
2021-01-02,1,6.3,3,Low,30.5,5.1
2021-11-11,11,17.3,7,Medium,30.5,5.1
2022-04-23,4,18.3,2,Low,30.5,5.1
2023-10-03,10,11.1,4,Low,30.5,5.1
2021-05-23,5,56.4,15,High,30.5,5.1
2021-06-30,6,34.1,21,High,30.5,35.8
2020-11-22,11,9.9,1,Low,30.5,5.1
2023-12-07,12,13.1,3,Low,30.5,5.1
2020-08-09,8,89.9,45,High,30.5,35.8
2022-02-22,2,12.6,4,Low,30.5,5.1
2020-03-20,3,16.6,3,Low,30.5,5.1
2022-08-21,8,86.8,47,High,30.5,35.8
2021-03-31,3,47.6,11,High,30.5,5.1
2021-02-12,2,4.8,2,Low,30.5,5.1
2022-07-31,7,37.4,21,High,30.5,35.8
2021-12-17,12,5.4,3,Low,30.5,5.1
2021-09-17,9,88.9,46,High,30.5,35.8
2021-04-11,4,5.4,0,Low,30.5,5.1
2021-04-01,4,20.4,6,Medium,30.5,5.1
2020-02-18,2,8.2,0,Low,30.5,5.1
2023-09-13,9,85.2,32,High,30.5,35.8
2021-01-30,1,12.1,1,Low,30.5,5.1
2022-03-27,3,4.9,2,Low,30.5,5.1
2021-11-03,11,28.7,10,Medium,30.5,5.1
2021-07-24,7,43.9,18,High,30.5,35.8
2020-05-22,5,23.9,6,Medium,30.5,5.1
2021-07-25,7,79.1,45,High,30.5,35.8
2021-12-20,12,6.6,0,Low,30.5,5.1
2023-08-06,8,47.0,18,High,30.5,35.8
2022-11-09,11,8.4,4,Low,30.5,5.1
2022-03-29,3,0.5,0,Low,30.5,5.1
2023-10-23,10,47.3,14,High,30.5,5.1
2023-01-03,1,12.3,4,Low,30.5,5.1
2021-11-09,11,14.3,10,Medium,30.5,5.1
2020-02-26,2,12.6,2,Low,30.5,5.1
2020-08-24,8,197.5,77,High,30.5,35.8
2021-06-18,6,84.7,49,High,30.5,35.8
2020-12-31,12,9.5,1,Low,30.5,5.1
2023-04-04,4,15.9,6,Medium,30.5,5.1
2021-06-27,6,45.1,32,High,30.5,35.8
2020-03-19,3,10.7,7,Low,30.5,5.1
2020-08-10,8,70.4,42,High,30.5,35.8
2023-05-06,5,13.8,5,Low,30.5,5.1
2022-06-08,6,29.2,10,Medium,30.5,35.8
2021-12-08,12,9.7,1,Low,30.5,5.1
2021-10-04,10,10.9,8,Medium,30.5,5.1
2022-06-12,6,34.6,20,High,30.5,35.8
2023-05-26,5,7.6,1,Low,30.5,5.1
2022-11-13,11,32.4,13,High,30.5,5.1
2020-08-24,8,57.7,25,High,30.5,35.8
2022-02-27,2,5.8,2,Low,30.5,5.1
2023-03-26,3,19.2,5,Medium,30.5,5.1
2021-01-24,1,3.8,1,Low,30.5,5.1
2021-06-05,6,95.0,59,High,30.5,35.8
2020-03-31,3,9.7,1,Low,30.5,5.1
2023-12-22,12,7.4,4,Low,30.5,5.1
2022-06-12,6,63.9,39,High,30.5,35.8
2020-01-04,1,10.4,5,Low,30.5,5.1
2022-11-30,11,9.4,8,Medium,30.5,5.1
2023-01-07,1,2.1,3,Low,30.5,5.1
2023-11-07,11,64.9,21,High,30.5,5.1
2023-10-05,10,41.4,14,High,30.5,5.1
2021-02-07,2,8.5,1,Low,30.5,5.1
2022-01-15,1,8.9,4,Low,30.5,5.1
2022-06-02,6,88.2,45,High,30.5,35.8
2020-05-23,5,12.2,2,Low,30.5,5.1
2023-09-22,9,30.0,13,High,30.5,35.8
2021-11-07,11,32.4,12,High,30.5,5.1
2023-06-30,6,62.8,32,High,30.5,35.8
2021-10-04,10,25.3,11,Medium,30.5,5.1
2023-09-20,9,55.7,32,High,30.5,35.8
2020-09-12,9,30.9,13,High,30.5,35.8
2021-09-07,9,12.3,4,Low,30.5,35.8
2022-11-04,11,12.5,4,Low,30.5,5.1
